product_type,sku,price,availability,number_of_products_sold,revenue_generated,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,defect_rate_pct,supplier_risk_score
cosmetics,SKU00148,12.8,126,1349,23760.02,284,28,494,4,Carrier C,86.73,Supplier_5,Bangalore,2707,18,359.39,Pass,0.0304,Road,Route B,260.63,3.04,50.62
haircare,SKU00149,289.06,70,228,1739.9,660,7,205,12,Carrier B,95.99,Supplier_3,Delhi,2285,7,426.4,Pass,0.1136,Air,Route A,880.73,11.36,54.03
accessories,SKU00150,215.51,270,1010,13421.66,835,21,123,8,Carrier B,7.71,Supplier_2,Chennai,136,16,325.82,Pass,0.1207,Sea,Route C,547.14,12.07,76.88
accessories,SKU00151,65.4,82,211,48104.75,956,9,195,7,Carrier B,192.48,Supplier_4,Chennai,1751,1,70.96,Pass,0.0981,Rail,Route C,1174.4,9.81,50.67
skincare,SKU00152,220.59,313,1605,1468.0,351,10,166,9,Carrier C,183.65,Supplier_1,Chennai,2800,8,363.08,Pass,0.1165,Rail,Route A,1496.35,11.65,59.48
accessories,SKU00153,87.21,191,1304,36729.51,688,13,323,7,Carrier B,24.8,Supplier_4,Bangalore,1958,12,258.17,Pass,0.038,Rail,Route C,1758.68,3.8,32.24
cosmetics,SKU00154,143.44,359,1761,23870.99,519,13,360,13,Carrier B,112.69,Supplier_4,Mumbai,425,10,108.19,Pass,0.1171,Air,Route A,1446.92,11.71,64.01
accessories,SKU00155,258.67,231,1483,35375.44,696,15,208,2,Carrier C,65.94,Supplier_5,Kolkata,3290,10,69.0,Pending,0.0338,Road,Route A,1664.59,3.38,33.41
accessories,SKU00156,137.18,281,1369,16691.82,341,4,48,9,Carrier C,46.3,Supplier_3,Chennai,1146,2,146.21,Pass,0.0759,Rail,Route B,1990.3,7.59,34.61
cosmetics,SKU00157,89.96,478,741,18569.88,701,24,356,12,Carrier C,58.48,Supplier_3,Mumbai,1743,14,80.19,Pass,0.0593,Sea,Route B,832.23,5.93,56.51
skincare,SKU00158,95.12,314,1688,25887.32,886,11,250,7,Carrier B,15.44,Supplier_5,Mumbai,299,17,85.12,Pass,0.032,Sea,Route B,355.28,3.2,26.98
haircare,SKU00159,27.72,470,779,45491.95,125,13,270,7,Carrier A,139.2,Supplier_2,Chennai,4269,7,424.91,Pass,0.0387,Rail,Route B,381.69,3.87,32.52
cosmetics,SKU00160,69.75,121,489,16486.58,883,23,429,12,Carrier B,76.5,Supplier_5,Chennai,188,9,476.29,Pass,0.1327,Air,Route B,956.74,13.27,84.56
haircare,SKU00161,84.98,483,415,4384.6,252,2,373,12,Carrier A,141.46,Supplier_1,Bangalore,1870,3,497.5,Fail,0.0092,Rail,Route A,1403.97,0.92,4.96
accessories,SKU00162,56.03,107,1027,2009.01,32,18,296,5,Carrier A,163.99,Supplier_5,Bangalore,2522,11,288.51,Pass,0.0737,Sea,Route A,1671.1,7.37,53.72
accessories,SKU00163,23.6,364,1043,44090.25,65,21,414,1,Carrier B,116.67,Supplier_3,Kolkata,2229,13,291.69,Pending,0.0724,Rail,Route A,374.18,7.24,57.49
haircare,SKU00164,142.41,23,505,15755.41,510,25,467,13,Carrier C,72.0,Supplier_2,Chennai,1285,18,48.59,Pass,0.0167,Air,Route C,1071.23,1.67,40.83
cosmetics,SKU00165,68.25,338,1160,6064.34,932,7,288,9,Carrier B,32.3,Supplier_1,Chennai,2223,8,76.9,Fail,0.0125,Sea,Route A,199.21,1.25,13.43
haircare,SKU00166,222.94,440,412,29861.49,167,5,153,13,Carrier C,132.03,Supplier_3,Mumbai,2175,15,389.8,Fail,0.0655,Sea,Route C,1166.84,6.55,31.86
haircare,SKU00167,277.15,135,1867,42260.28,994,26,458,5,Carrier C,136.57,Supplier_5,Mumbai,4525,17,294.03,Fail,0.0537,Rail,Route C,1736.91,5.37,57.12
skincare,SKU00168,85.53,78,65,30017.41,79,15,175,9,Carrier A,157.34,Supplier_5,Chennai,2971,13,292.01,Pass,0.0388,Sea,Route C,721.78,3.88,35.42
accessories,SKU00169,173.81,186,81,7670.41,605,7,392,7,Carrier A,31.85,Supplier_4,Chennai,3063,7,381.58,Pass,0.0383,Air,Route B,1371.88,3.83,23.79
accessories,SKU00170,154.48,33,656,20346.05,601,25,416,5,Carrier C,14.0,Supplier_5,Kolkata,4482,9,410.35,Pass,0.0343,Sea,Route A,1283.87,3.43,47.9
cosmetics,SKU00171,27.16,1,1817,13397.82,155,9,429,9,Carrier B,176.43,Supplier_2,Bangalore,4826,5,360.9,Pass,0.0957,Sea,Route A,1344.79,9.57,49.7
cosmetics,SKU00172,41.84,213,422,926.94,861,8,400,6,Carrier B,123.25,Supplier_5,Chennai,4398,18,25.19,Pass,0.1466,Rail,Route A,405.95,14.66,68.71
cosmetics,SKU00173,266.01,416,1981,48287.7,124,4,19,11,Carrier B,23.37,Supplier_3,Delhi,121,4,281.07,Pass,0.046,Sea,Route A,1043.74,4.6,22.6
haircare,SKU00174,144.87,201,672,23014.92,151,20,396,3,Carrier A,143.26,Supplier_1,Bangalore,1526,12,421.05,Pass,0.0599,Sea,Route C,157.21,5.99,51.04
skincare,SKU00175,242.36,138,692,6822.62,446,9,17,13,Carrier A,15.98,Supplier_3,Mumbai,4782,5,413.42,Pass,0.1046,Air,Route B,854.14,10.46,53.28
accessories,SKU00176,24.64,112,211,44256.79,361,21,359,9,Carrier B,128.26,Supplier_5,Mumbai,1104,1,475.47,Pass,0.0461,Sea,Route B,154.29,4.61,46.92
skincare,SKU00177,180.47,39,1451,49257.98,390,18,320,3,Carrier C,113.2,Supplier_4,Delhi,1055,5,269.31,Fail,0.019,Air,Route C,1932.33,1.9,31.76
haircare,SKU00178,260.27,197,1734,40818.69,368,19,422,1,Carrier A,144.48,Supplier_1,Mumbai,2693,9,270.66,Pass,0.0974,Air,Route A,724.4,9.74,64.67
haircare,SKU00179,260.78,157,1649,12756.93,195,8,173,12,Carrier A,23.34,Supplier_5,Bangalore,4496,10,31.86,Pass,0.0532,Sea,Route A,533.25,5.32,31.2
cosmetics,SKU00180,6.69,224,295,9608.09,605,12,93,9,Carrier B,182.17,Supplier_5,Delhi,843,4,266.13,Pass,0.0006,Sea,Route B,1810.42,0.06,15.79
haircare,SKU00181,158.91,161,1302,26303.1,89,2,437,2,Carrier C,188.37,Supplier_2,Bangalore,315,8,290.67,Pass,0.0493,Road,Route C,892.79,4.93,21.07
accessories,SKU00182,113.86,295,898,29216.5,576,10,33,12,Carrier C,197.01,Supplier_4,Chennai,195,8,460.6,Fail,0.1319,Rail,Route B,1047.29,13.19,65.67
accessories,SKU00183,229.21,361,577,43932.23,647,18,201,1,Carrier C,154.37,Supplier_4,Mumbai,4295,19,444.75,Pass,0.008,Rail,Route A,1742.28,0.8,27.34
cosmetics,SKU00184,26.6,5,1530,48365.42,417,29,389,5,Carrier B,65.77,Supplier_1,Bangalore,1052,13,49.97,Pass,0.1337,Sea,Route B,1069.29,13.37,93.53
skincare,SKU00185,83.15,2,1245,45528.31,792,22,374,4,Carrier C,195.81,Supplier_3,Mumbai,3199,4,88.1,Pass,0.0922,Sea,Route A,815.25,9.22,66.87
accessories,SKU00186,244.73,138,1726,17169.76,631,5,40,8,Carrier B,124.78,Supplier_1,Mumbai,3418,2,203.57,Pass,0.1249,Sea,Route C,1488.51,12.49,55.71
cosmetics,SKU00187,143.52,115,1753,29321.41,63,4,130,4,Carrier A,145.1,Supplier_5,Chennai,3458,18,394.37,Pass,0.0842,Road,Route B,637.48,8.42,37.94
skincare,SKU00188,138.68,44,1712,6280.43,398,28,335,12,Carrier B,133.96,Supplier_1,Bangalore,2962,3,99.79,Pass,0.1066,Air,Route C,344.97,10.66,81.22
skincare,SKU00189,290.72,448,214,25991.94,309,13,318,11,Carrier A,45.3,Supplier_2,Bangalore,2016,7,391.54,Pass,0.133,Air,Route A,1449.86,13.3,70.4
skincare,SKU00190,99.37,44,1238,3631.42,314,11,457,5,Carrier C,171.36,Supplier_2,Chennai,390,3,304.56,Pass,0.0258,Rail,Route A,1019.97,2.58,24.49
accessories,SKU00191,17.31,427,959,5653.71,300,2,451,8,Carrier A,131.13,Supplier_4,Chennai,2001,10,441.21,Pass,0.0165,Rail,Route B,1994.93,1.65,7.89
haircare,SKU00192,120.7,32,350,6184.94,785,2,63,2,Carrier C,48.07,Supplier_2,Mumbai,3328,11,184.34,Pass,0.0857,Sea,Route A,1114.66,8.57,35.69
haircare,SKU00193,50.25,314,45,15141.47,542,1,432,6,Carrier A,78.71,Supplier_1,Bangalore,867,19,213.14,Pass,0.0719,Air,Route B,1797.92,7.19,28.71
cosmetics,SKU00194,29.16,191,407,15553.01,220,12,306,2,Carrier A,32.99,Supplier_5,Bangalore,1690,8,48.9,Pass,0.0781,Road,Route B,133.55,7.81,46.92
skincare,SKU00195,172.52,279,1689,35281.51,604,11,189,11,Carrier C,89.4,Supplier_3,Delhi,788,15,268.66,Pass,0.054,Rail,Route A,95.19,5.4,35.81
accessories,SKU00196,286.3,260,1369,3894.08,403,15,143,3,Carrier B,197.96,Supplier_1,Bangalore,1005,10,391.81,Pass,0.147,Sea,Route C,734.13,14.7,78.88
haircare,SKU00197,175.93,111,1556,5646.09,410,9,246,13,Carrier B,79.83,Supplier_5,Chennai,3158,18,266.36,Pass,0.0906,Air,Route C,1677.35,9.06,47.65
accessories,SKU00198,195.9,50,1800,32850.4,117,14,233,10,Carrier C,82.11,Supplier_5,Chennai,4289,5,270.3,Pass,0.0916,Air,Route C,976.72,9.16,55.2
haircare,SKU00199,100.47,437,92,33672.17,865,26,272,9,Carrier A,161.59,Supplier_4,Delhi,1775,11,459.33,Pass,0.0043,Rail,Route C,1238.63,0.43,37.28
skincare,SKU00200,173.48,364,814,35550.8,881,24,229,6,Carrier C,21.14,Supplier_1,Chennai,1627,2,388.01,Pass,0.0415,Sea,Route B,757.63,4.15,49.36
accessories,SKU00201,226.91,380,1491,36034.95,390,1,178,9,Carrier A,28.34,Supplier_1,Mumbai,241,7,170.86,Pass,0.0424,Air,Route C,723.63,4.24,16.87
haircare,SKU00202,178.84,308,1472,33179.92,307,2,313,6,Carrier A,150.43,Supplier_1,Mumbai,2446,11,473.48,Pass,0.1489,Air,Route B,694.42,14.89,61.07
cosmetics,SKU00203,241.82,256,1383,27674.42,303,19,247,12,Carrier C,30.42,Supplier_5,Delhi,930,13,367.9,Pass,0.0207,Rail,Route B,603.34,2.07,33.87
cosmetics,SKU00204,167.39,425,279,37093.97,489,12,172,11,Carrier A,124.21,Supplier_3,Bangalore,4131,2,164.52,Pass,0.0758,Rail,Route C,120.43,7.58,46.0
skincare,SKU00205,63.45,80,252,4168.24,766,22,482,4,Carrier B,164.27,Supplier_3,Bangalore,933,14,121.45,Pass,0.1097,Air,Route A,1369.18,10.97,73.9
haircare,SKU00206,176.9,303,858,10669.38,877,2,86,13,Carrier C,114.8,Supplier_4,Delhi,528,19,344.32,Pass,0.0932,Road,Route A,651.92,9.32,38.7
cosmetics,SKU00207,149.83,107,1050,37098.52,841,13,441,13,Carrier A,20.64,Supplier_3,Delhi,1046,1,263.33,Pass,0.1143,Air,Route C,1841.48,11.43,62.89
skincare,SKU00208,53.95,325,635,9708.35,644,26,257,3,Carrier A,45.26,Supplier_3,Delhi,3271,3,307.48,Fail,0.0542,Rail,Route C,1200.23,5.42,57.32
accessories,SKU00209,187.65,189,1378,26584.54,877,15,164,3,Carrier B,110.37,Supplier_5,Kolkata,2325,3,82.05,Pending,0.0244,Road,Route B,353.47,2.44,29.64
cosmetics,SKU00210,246.0,213,444,13089.04,64,23,427,1,Carrier B,191.05,Supplier_5,Bangalore,2747,18,387.57,Pass,0.0342,Air,Route C,623.49,3.42,45.0
skincare,SKU00211,44.85,165,670,21620.62,169,8,345,1,Carrier A,132.5,Supplier_3,Delhi,4561,18,433.28,Pass,0.0824,Rail,Route B,404.52,8.24,42.93
haircare,SKU00212,165.76,298,202,41725.48,315,3,62,2,Carrier B,140.89,Supplier_4,Chennai,1036,6,221.52,Pass,0.078,Air,Route C,1521.36,7.8,34.02
cosmetics,SKU00213,221.44,30,1007,33065.94,196,8,474,11,Carrier A,121.11,Supplier_2,Mumbai,2951,14,166.23,Pass,0.061,Road,Route C,543.43,6.1,34.34
skincare,SKU00214,123.89,385,1483,22314.91,720,21,215,11,Carrier B,68.56,Supplier_2,Mumbai,2521,15,487.95,Pass,0.1378,Air,Route B,1139.29,13.78,83.75
cosmetics,SKU00215,84.66,203,1951,13749.14,462,2,187,3,Carrier A,123.5,Supplier_3,Chennai,3727,16,487.94,Pending,0.0601,Rail,Route A,895.28,6.01,25.4
accessories,SKU00216,114.82,490,481,40270.42,215,7,199,10,Carrier B,6.87,Supplier_5,Mumbai,3313,7,79.87,Pass,0.0319,Road,Route B,767.3,3.19,21.22
skincare,SKU00217,164.8,224,1271,32885.42,967,27,425,5,Carrier C,85.76,Supplier_4,Mumbai,616,4,279.48,Pass,0.0902,Air,Route C,1739.45,9.02,73.21
accessories,SKU00218,207.56,61,101,22053.45,260,15,143,5,Carrier A,163.31,Supplier_4,Delhi,816,6,229.7,Pass,0.0873,Rail,Route A,1048.75,8.73,54.9
cosmetics,SKU00219,169.96,143,1003,43476.69,620,1,400,7,Carrier B,44.87,Supplier_2,Delhi,3493,19,154.5,Pass,0.1177,Rail,Route B,654.84,11.77,47.11
cosmetics,SKU00220,36.57,229,1769,34653.78,592,17,401,9,Carrier A,131.44,Supplier_5,Chennai,222,17,269.1,Pass,0.084,Air,Route C,382.45,8.4,56.43
accessories,SKU00221,246.28,192,131,49030.8,623,4,444,2,Carrier B,145.49,Supplier_1,Bangalore,4338,6,340.7,Pass,0.0012,Sea,Route A,631.72,0.12,4.61
accessories,SKU00222,277.54,132,763,33252.88,849,26,409,12,Carrier B,35.52,Supplier_3,Chennai,2381,3,195.96,Pass,0.0726,Rail,Route C,419.38,7.26,64.71
accessories,SKU00223,34.88,166,242,45005.08,326,22,51,6,Carrier A,172.27,Supplier_2,Delhi,4974,3,167.61,Pass,0.0276,Rail,Route B,1344.93,2.76,40.92
accessories,SKU00224,78.61,366,1061,27565.42,445,26,59,6,Carrier A,52.55,Supplier_5,Delhi,919,18,434.4,Pass,0.0352,Air,Route B,1499.78,3.52,49.69
haircare,SKU00225,56.24,188,1701,35529.06,990,14,462,5,Carrier B,192.72,Supplier_1,Chennai,3590,7,335.78,Pass,0.1155,Sea,Route C,1213.67,11.55,64.8
skincare,SKU00226,255.5,77,935,42137.34,512,2,236,11,Carrier A,72.19,Supplier_1,Mumbai,3262,18,166.59,Pass,0.1444,Road,Route A,1437.55,14.44,59.26
accessories,SKU00227,273.53,309,1485,4613.81,182,15,490,2,Carrier B,124.26,Supplier_1,Mumbai,3075,7,94.97,Pass,0.1309,Road,Route C,1509.21,13.09,72.41
skincare,SKU00228,18.06,369,608,23763.74,55,16,93,1,Carrier A,189.98,Supplier_4,Bangalore,1327,15,204.68,Pass,0.0353,Road,Route C,1168.3,3.53,35.44
haircare,SKU00229,103.06,248,1670,30319.57,559,9,128,8,Carrier C,164.89,Supplier_1,Chennai,4814,2,470.79,Pass,0.0639,Rail,Route A,417.92,6.39,36.93
cosmetics,SKU00230,61.79,362,472,2983.4,156,7,225,12,Carrier C,99.72,Supplier_5,Bangalore,333,5,418.72,Pass,0.1291,Air,Route A,1298.65,12.91,60.26
accessories,SKU00231,143.51,98,1156,39482.28,674,5,320,6,Carrier C,42.92,Supplier_3,Mumbai,732,17,120.82,Fail,0.1262,Rail,Route A,96.88,12.62,56.24
cosmetics,SKU00232,276.87,72,712,35805.75,495,29,102,3,Carrier B,124.89,Supplier_2,Kolkata,2005,7,310.91,Pass,0.0087,Rail,Route C,978.92,0.87,43.33
accessories,SKU00233,25.7,397,1152,46818.17,809,24,54,3,Carrier A,119.63,Supplier_2,Bangalore,3985,17,22.5,Pass,0.0418,Rail,Route C,363.56,4.18,49.48
cosmetics,SKU00234,55.53,394,541,18664.64,63,5,288,6,Carrier B,17.47,Supplier_2,Bangalore,2928,2,455.43,Pass,0.0888,Sea,Route B,1409.21,8.88,41.22
haircare,SKU00235,148.67,256,1061,23510.9,813,4,305,11,Carrier A,79.59,Supplier_1,Kolkata,3625,4,472.21,Pass,0.0293,Sea,Route C,1352.33,2.93,15.89
accessories,SKU00236,159.59,242,539,45603.54,848,26,199,13,Carrier C,184.54,Supplier_1,Chennai,382,13,123.92,Pass,0.0031,Road,Route B,695.99,0.31,36.8
skincare,SKU00237,224.92,229,1470,20633.39,386,9,357,6,Carrier B,107.52,Supplier_4,Chennai,3658,11,184.46,Pass,0.0331,Air,Route B,1189.93,3.31,24.56
accessories,SKU00238,134.12,110,455,41734.16,596,9,79,5,Carrier C,40.3,Supplier_1,Mumbai,3093,14,164.54,Pass,0.0812,Road,Route C,1437.17,8.12,43.88
accessories,SKU00239,46.64,356,660,21128.3,270,22,375,1,Carrier A,130.56,Supplier_4,Kolkata,1838,17,109.32,Pass,0.1072,Road,Route B,1046.8,10.72,72.89
accessories,SKU00240,109.32,190,30,16954.13,562,5,31,12,Carrier A,93.51,Supplier_4,Kolkata,453,3,348.05,Pass,0.1107,Air,Route B,546.62,11.07,50.01
haircare,SKU00241,294.72,376,993,13934.98,979,9,429,12,Carrier C,183.19,Supplier_5,Bangalore,490,8,200.87,Pending,0.0849,Rail,Route A,270.25,8.49,45.36
accessories,SKU00242,226.46,220,4,10753.35,41,8,485,3,Carrier A,100.56,Supplier_2,Bangalore,762,4,22.41,Pass,0.0898,Sea,Route A,1749.04,8.98,45.9
cosmetics,SKU00243,39.32,424,939,21628.4,552,28,153,6,Carrier B,10.09,Supplier_1,Mumbai,793,10,125.41,Fail,0.0781,Sea,Route A,221.67,7.81,69.78
skincare,SKU00244,243.42,423,1715,8162.91,630,23,213,3,Carrier C,36.48,Supplier_3,Delhi,1101,6,337.26,Pending,0.1191,Air,Route B,437.06,11.91,79.1
accessories,SKU00245,96.72,405,1323,41416.47,282,6,66,2,Carrier B,39.2,Supplier_4,Delhi,3417,5,356.81,Pass,0.0976,Air,Route C,1571.01,9.76,46.18
accessories,SKU00246,235.51,134,1047,48724.08,168,14,407,11,Carrier C,190.49,Supplier_2,Bangalore,3529,6,27.95,Pass,0.1024,Air,Route A,147.03,10.24,59.54
cosmetics,SKU00247,8.75,334,432,4962.24,138,16,410,4,Carrier B,75.07,Supplier_2,Chennai,1629,9,283.99,Pass,0.1355,Sea,Route A,329.49,13.55,75.69
haircare,SKU00248,262.02,376,1742,2835.48,108,6,159,12,Carrier A,73.02,Supplier_4,Kolkata,2364,16,326.6,Pass,0.0176,Road,Route B,774.81,1.76,14.05
cosmetics,SKU00249,52.88,360,50,286.51,803,16,22,4,Carrier B,195.34,Supplier_3,Mumbai,4750,6,325.72,Pass,0.0057,Rail,Route B,344.66,0.57,23.56
haircare,SKU00250,139.45,439,387,46609.96,541,29,235,3,Carrier A,45.21,Supplier_5,Bangalore,3092,16,332.69,Pass,0.0798,Air,Route C,129.5,7.98,71.89
haircare,SKU00251,200.22,78,177,3782.84,848,15,124,1,Carrier B,126.29,Supplier_3,Chennai,697,16,394.52,Pass,0.0669,Road,Route C,1561.71,6.69,46.71
haircare,SKU00252,154.82,328,710,34040.98,441,3,392,5,Carrier A,189.81,Supplier_4,Mumbai,1887,14,180.91,Pass,0.1362,Road,Route A,387.3,13.62,57.4
haircare,SKU00253,53.79,349,358,15261.45,569,23,126,5,Carrier A,182.44,Supplier_3,Delhi,4090,4,428.48,Pending,0.0463,Road,Route B,1831.78,4.63,49.86
accessories,SKU00254,46.04,178,304,9991.22,943,15,491,4,Carrier A,36.27,Supplier_1,Kolkata,3430,5,231.97,Pass,0.1015,Air,Route B,146.13,10.15,60.6
skincare,SKU00255,88.94,127,1714,12392.16,383,2,389,3,Carrier C,96.86,Supplier_3,Kolkata,2438,1,49.03,Pass,0.1043,Road,Route C,583.52,10.43,43.16
haircare,SKU00256,20.46,282,1085,34514.11,504,9,320,2,Carrier A,54.15,Supplier_4,Chennai,793,11,332.67,Pass,0.0358,Air,Route B,1163.42,3.58,25.65
haircare,SKU00257,68.88,128,1433,997.27,659,16,226,3,Carrier A,141.49,Supplier_5,Delhi,1541,18,184.48,Pending,0.0013,Rail,Route B,244.48,0.13,21.79
skincare,SKU00258,43.38,294,1054,43254.39,642,12,11,9,Carrier A,52.98,Supplier_1,Delhi,1057,18,324.88,Pass,0.0628,Sea,Route A,982.92,6.28,40.77
skincare,SKU00259,142.12,60,1499,28433.31,980,23,420,9,Carrier C,39.5,Supplier_4,Delhi,1348,4,199.16,Pass,0.0303,Road,Route A,999.42,3.03,43.44
skincare,SKU00260,110.17,197,1514,11856.1,823,20,272,2,Carrier C,58.02,Supplier_3,Bangalore,1263,10,258.99,Pending,0.0286,Rail,Route C,1220.15,2.86,38.47
accessories,SKU00261,178.12,198,888,10496.1,578,2,337,3,Carrier A,30.49,Supplier_2,Delhi,1831,11,286.57,Pass,0.0691,Rail,Route B,1855.91,6.91,29.02
accessories,SKU00262,87.86,366,1686,32771.15,560,23,59,8,Carrier B,144.7,Supplier_2,Bangalore,2575,19,359.87,Fail,0.0269,Road,Route C,846.68,2.69,42.07
cosmetics,SKU00263,15.0,9,205,31503.6,787,16,423,1,Carrier A,59.5,Supplier_4,Bangalore,1902,14,162.23,Pass,0.084,Road,Route C,1822.26,8.4,55.0
accessories,SKU00264,102.68,181,1880,15973.98,754,17,60,6,Carrier A,83.01,Supplier_3,Chennai,278,6,341.49,Pending,0.0924,Rail,Route B,475.65,9.24,59.8
skincare,SKU00265,227.78,328,930,16767.58,882,13,395,3,Carrier B,58.69,Supplier_1,Kolkata,1207,7,131.83,Pass,0.0705,Sea,Route A,1324.55,7.05,45.3
haircare,SKU00266,80.47,248,311,23225.7,995,12,153,13,Carrier C,79.14,Supplier_5,Mumbai,4003,14,399.7,Fail,0.0847,Sea,Route B,885.71,8.47,49.57
skincare,SKU00267,124.34,374,1725,45532.56,756,12,441,4,Carrier C,64.53,Supplier_4,Bangalore,1173,18,131.04,Pending,0.0296,Sea,Route C,1563.05,2.96,27.44
haircare,SKU00268,227.72,434,1338,26961.56,158,13,176,5,Carrier A,73.93,Supplier_4,Bangalore,2852,12,54.49,Pass,0.0863,Sea,Route A,1065.26,8.63,51.64
accessories,SKU00269,124.97,387,1018,42019.5,486,16,145,3,Carrier B,143.24,Supplier_3,Chennai,4858,7,38.42,Pass,0.1281,Air,Route B,1714.72,12.81,72.71
haircare,SKU00270,266.7,167,541,32078.5,53,6,324,6,Carrier C,38.9,Supplier_5,Mumbai,4988,4,307.32,Pass,0.1273,Air,Route A,351.87,12.73,58.11
skincare,SKU00271,275.83,64,1263,28149.44,178,19,184,8,Carrier B,138.9,Supplier_2,Bangalore,2164,4,175.08,Pass,0.0165,Road,Route C,565.12,1.65,32.18
haircare,SKU00272,96.61,43,1606,24534.03,193,22,192,9,Carrier A,72.73,Supplier_5,Mumbai,2689,4,295.79,Pass,0.0487,Air,Route C,1111.79,4.87,49.4
accessories,SKU00273,222.11,320,748,34063.37,696,21,317,12,Carrier B,23.25,Supplier_4,Mumbai,3152,2,169.15,Pending,0.1076,Sea,Route C,1287.75,10.76,71.62
haircare,SKU00274,79.67,63,301,24627.25,370,21,156,3,Carrier B,28.35,Supplier_4,Delhi,1301,19,230.97,Pass,0.0886,Air,Route A,789.19,8.86,63.99
cosmetics,SKU00275,46.16,419,300,36326.21,831,27,295,11,Carrier A,180.6,Supplier_1,Bangalore,3542,18,437.68,Pass,0.058,Sea,Route A,1616.44,5.8,60.28
accessories,SKU00276,134.17,289,1586,9184.95,625,12,314,9,Carrier B,13.18,Supplier_2,Bangalore,3475,8,463.3,Pass,0.125,Road,Route C,787.86,12.5,65.75
cosmetics,SKU00277,182.73,17,1253,16183.51,962,20,391,7,Carrier A,58.87,Supplier_1,Bangalore,1726,5,40.69,Pass,0.1343,Rail,Route A,1870.55,13.43,80.92
accessories,SKU00278,281.0,395,503,43671.61,27,27,341,12,Carrier A,173.39,Supplier_2,Bangalore,1149,11,475.14,Fail,0.0844,Sea,Route C,1865.21,8.44,70.88
accessories,SKU00279,48.04,96,969,19821.79,152,29,406,11,Carrier C,20.5,Supplier_2,Bangalore,4681,18,262.33,Pass,0.0375,Rail,Route C,133.25,3.75,54.9
accessories,SKU00280,215.15,496,335,42169.32,815,15,173,8,Carrier B,46.14,Supplier_3,Chennai,1145,10,375.02,Pass,0.1444,Rail,Route A,1300.66,14.44,77.83
cosmetics,SKU00281,145.26,133,691,46903.99,113,20,159,11,Carrier C,57.42,Supplier_3,Delhi,1539,9,466.17,Pass,0.0721,Rail,Route A,1727.75,7.21,55.94
cosmetics,SKU00282,43.85,275,1612,28965.58,283,21,479,9,Carrier B,167.98,Supplier_4,Mumbai,3764,17,110.42,Pending,0.0519,Sea,Route A,148.54,5.19,49.25
cosmetics,SKU00283,291.93,230,517,5183.01,636,8,69,9,Carrier A,27.57,Supplier_4,Delhi,1040,18,203.4,Pass,0.019,Road,Route C,1489.76,1.9,17.47
accessories,SKU00284,210.25,175,1925,37870.91,427,16,354,2,Carrier C,189.38,Supplier_3,Kolkata,752,19,445.83,Pending,0.1414,Air,Route A,1186.39,14.14,78.06
skincare,SKU00285,43.01,86,1391,33326.56,827,5,373,11,Carrier C,28.38,Supplier_2,Delhi,318,2,269.29,Pass,0.1036,Rail,Route C,1058.59,10.36,47.16
accessories,SKU00286,272.2,30,112,14610.32,118,17,494,1,Carrier A,115.28,Supplier_4,Kolkata,3239,8,450.78,Pass,0.0107,Rail,Route C,583.78,1.07,26.99
accessories,SKU00287,35.41,269,635,43162.63,76,3,346,5,Carrier A,155.79,Supplier_3,Mumbai,1388,17,422.24,Pass,0.0272,Sea,Route C,1482.83,2.72,13.62
skincare,SKU00288,32.33,491,621,24187.8,884,9,318,3,Carrier C,113.93,Supplier_4,Kolkata,269,4,499.29,Pass,0.1387,Rail,Route A,479.57,13.87,66.97
skincare,SKU00289,102.81,171,1151,2944.33,614,8,145,10,Carrier C,103.96,Supplier_5,Mumbai,401,19,337.18,Pass,0.0113,Rail,Route B,405.88,1.13,14.38
cosmetics,SKU00290,281.7,150,1996,3492.01,145,21,329,8,Carrier B,90.33,Supplier_1,Mumbai,1548,15,52.17,Pass,0.1014,Sea,Route A,732.27,10.14,69.13
accessories,SKU00291,14.74,327,519,11493.82,266,4,37,7,Carrier A,54.27,Supplier_5,Delhi,3174,14,453.27,Pass,0.0854,Rail,Route B,1982.91,8.54,38.42
haircare,SKU00292,275.87,499,355,30530.66,182,19,244,6,Carrier B,198.55,Supplier_5,Mumbai,2540,14,108.84,Pass,0.075,Sea,Route C,841.41,7.5,55.67
haircare,SKU00293,185.43,265,1506,40777.46,999,20,21,10,Carrier B,83.75,Supplier_4,Bangalore,2919,3,95.24,Pass,0.1037,Road,Route C,329.02,10.37,68.63
haircare,SKU00294,24.78,484,1247,5042.15,311,9,198,5,Carrier B,129.71,Supplier_3,Chennai,1987,10,197.11,Pass,0.0505,Road,Route B,829.65,5.05,31.55
skincare,SKU00295,172.73,343,749,1213.17,361,20,131,10,Carrier B,118.58,Supplier_2,Kolkata,210,19,119.33,Pass,0.0939,Air,Route B,1542.84,9.39,64.69
haircare,SKU00296,140.34,398,1396,31162.89,999,18,483,13,Carrier B,192.56,Supplier_3,Bangalore,2848,7,86.95,Pass,0.1315,Air,Route B,1267.21,13.15,76.94
cosmetics,SKU00297,171.38,123,956,20532.27,81,18,144,1,Carrier B,52.59,Supplier_3,Chennai,4754,16,326.32,Pending,0.0859,Sea,Route A,1450.14,8.59,58.62
